Genome,KO,COG,Gene name,Gene Function,Function Category,Function Subcategory,Presence/Absence,Additional Information
Alishewanella agri,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Marinobactershengliensis,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Marinobacter vinifirmis,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Dietzia_maris_bin001_S3,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Aliihoeflea_bin002_S3,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Aliihoeflea_bin004_S3,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K01595,COG1861,ppc,PEP carboxylase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Alishewanella agri,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Marinobactershengliensis,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Marinobacter vinifirmis,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Dietzia_maris_bin001_S3,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Aliihoeflea_bin002_S3,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Aliihoeflea_bin004_S3,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K01958/9,COG1866,pycAB,Pyruvate carboxylase (biotin-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Alishewanella agri,K00029,COG0281,maeB,Malic enzyme (NADP⁺-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Marinobactershengliensis,K00029,COG0281,maeB,Malic enzyme (NADP⁺-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Marinobacter vinifirmis,K00029,COG0281,maeB,Malic enzyme (NADP⁺-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Dietzia_maris_bin001_S3,K00029,COG0281,maeB,Malic enzyme (NADP⁺-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Aliihoeflea_bin002_S3,K00029,COG0281,maeB,Malic enzyme (NADP⁺-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K00029,COG0281,maeB,Malic enzyme (NADP⁺-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Aliihoeflea_bin004_S3,K00029,COG0281,maeB,Malic enzyme (NADP⁺-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K00029,COG0281,maeB,Malic enzyme (NADP⁺-dependent),CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Alishewanella agri,K01672/3,COG0288,"can, cynT",Carbonic anhydrase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Marinobactershengliensis,K01672/3,COG0288,"can, cynT",Carbonic anhydrase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Marinobacter vinifirmis,K01672/3,COG0288,"can, cynT",Carbonic anhydrase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Dietzia_maris_bin001_S3,K01672/3,COG0288,"can, cynT",Carbonic anhydrase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Aliihoeflea_bin002_S3,K01672/3,COG0288,"can, cynT",Carbonic anhydrase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K01672/3,COG0288,"can, cynT",Carbonic anhydrase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Aliihoeflea_bin004_S3,K01672/3,COG0288,"can, cynT",Carbonic anhydrase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K01672/3,COG0288,"can, cynT",Carbonic anhydrase,CO2 assimilation (Heterotrophs),Anaplerotic CO₂ fixation,0,
Alishewanella agri,"K03313, K03314, K05565, K05559,  K05560, K11105, K05568, K12137, K05561, K05553, K05564, K05567, K05571","COG3005, COG2216, COG1009, COG2111, COG3263, COG1006,
COG0651, COG3067, COG2212, COG1320, COG1006, COG1863","nhaAB, mrpABCDEFG",multicomponent K+:H+ antiporter (Kef-type or Mnh-type antiporter system); Na+:H+ antiporter,Environmental Stress Response,High pH Adaptation,1,
Marinobactershengliensis,"K03313, K03314, K05565, K05559,  K05560, K11105, K05568, K12137, K05561, K05553, K05564, K05567, K05571","COG3005, COG2216, COG1009, COG2111, COG3263, COG1006,
COG0651, COG3067, COG2212, COG1320, COG1006, COG1863","nhaAB, mrpABCDEFG",multicomponent K+:H+ antiporter (Kef-type or Mnh-type antiporter system); Na+:H+ antiporter,Environmental Stress Response,High pH Adaptation,1,
Marinobacter vinifirmis,"K03313, K03314, K05565, K05559,  K05560, K11105, K05568, K12137, K05561, K05553, K05564, K05567, K05571","COG3005, COG2216, COG1009, COG2111, COG3263, COG1006,
COG0651, COG3067, COG2212, COG1320, COG1006, COG1863","nhaAB, mrpABCDEFG",multicomponent K+:H+ antiporter (Kef-type or Mnh-type antiporter system); Na+:H+ antiporter,Environmental Stress Response,High pH Adaptation,1,
Dietzia_maris_bin001_S3,"K03313, K03314, K05565, K05559,  K05560, K11105, K05568, K12137, K05561, K05553, K05564, K05567, K05571","COG3005, COG2216, COG1009, COG2111, COG3263, COG1006,
COG0651, COG3067, COG2212, COG1320, COG1006, COG1863","nhaAB, mrpABCDEFG",multicomponent K+:H+ antiporter (Kef-type or Mnh-type antiporter system); Na+:H+ antiporter,Environmental Stress Response,High pH Adaptation,0,
Aliihoeflea_bin002_S3,"K03313, K03314, K05565, K05559,  K05560, K11105, K05568, K12137, K05561, K05553, K05564, K05567, K05571","COG3005, COG2216, COG1009, COG2111, COG3263, COG1006,
COG0651, COG3067, COG2212, COG1320, COG1006, COG1863","nhaAB, mrpABCDEFG",multicomponent K+:H+ antiporter (Kef-type or Mnh-type antiporter system); Na+:H+ antiporter,Environmental Stress Response,High pH Adaptation,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K03313, K03314, K05565, K05559,  K05560, K11105, K05568, K12137, K05561, K05553, K05564, K05567, K05571","COG3005, COG2216, COG1009, COG2111, COG3263, COG1006,
COG0651, COG3067, COG2212, COG1320, COG1006, COG1863","nhaAB, mrpABCDEFG",multicomponent K+:H+ antiporter (Kef-type or Mnh-type antiporter system); Na+:H+ antiporter,Environmental Stress Response,High pH Adaptation,1,
Aliihoeflea_bin004_S3,"K03313, K03314, K05565, K05559,  K05560, K11105, K05568, K12137, K05561, K05553, K05564, K05567, K05571","COG3005, COG2216, COG1009, COG2111, COG3263, COG1006,
COG0651, COG3067, COG2212, COG1320, COG1006, COG1863","nhaAB, mrpABCDEFG",multicomponent K+:H+ antiporter (Kef-type or Mnh-type antiporter system); Na+:H+ antiporter,Environmental Stress Response,High pH Adaptation,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K03313, K03314, K05565, K05559,  K05560, K11105, K05568, K12137, K05561, K05553, K05564, K05567, K05571","COG3005, COG2216, COG1009, COG2111, COG3263, COG1006,
COG0651, COG3067, COG2212, COG1320, COG1006, COG1863","nhaAB, mrpABCDEFG",multicomponent K+:H+ antiporter (Kef-type or Mnh-type antiporter system); Na+:H+ antiporter,Environmental Stress Response,High pH Adaptation,1,
Alishewanella agri,"K02118/9, K02145-K02154","COG1250, COG1155-6, COG1269, COG1390, COG1394, COG1436, COG1527, COG2811",atpVK,V-type H+-ATPase,Environmental Stress Response,High pH Adaptation,0,
Marinobactershengliensis,"K02118/9, K02145-K02154","COG1250, COG1155-6, COG1269, COG1390, COG1394, COG1436, COG1527, COG2811",atpVK,V-type H+-ATPase,Environmental Stress Response,High pH Adaptation,0,
Marinobacter vinifirmis,"K02118/9, K02145-K02154","COG1250, COG1155-6, COG1269, COG1390, COG1394, COG1436, COG1527, COG2811",atpVK,V-type H+-ATPase,Environmental Stress Response,High pH Adaptation,0,
Dietzia_maris_bin001_S3,"K02118/9, K02145-K02154","COG1250, COG1155-6, COG1269, COG1390, COG1394, COG1436, COG1527, COG2811",atpVK,V-type H+-ATPase,Environmental Stress Response,High pH Adaptation,0,
Aliihoeflea_bin002_S3,"K02118/9, K02145-K02154","COG1250, COG1155-6, COG1269, COG1390, COG1394, COG1436, COG1527, COG2811",atpVK,V-type H+-ATPase,Environmental Stress Response,High pH Adaptation,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K02118/9, K02145-K02154","COG1250, COG1155-6, COG1269, COG1390, COG1394, COG1436, COG1527, COG2811",atpVK,V-type H+-ATPase,Environmental Stress Response,High pH Adaptation,0,
Aliihoeflea_bin004_S3,"K02118/9, K02145-K02154","COG1250, COG1155-6, COG1269, COG1390, COG1394, COG1436, COG1527, COG2811",atpVK,V-type H+-ATPase,Environmental Stress Response,High pH Adaptation,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K02118/9, K02145-K02154","COG1250, COG1155-6, COG1269, COG1390, COG1394, COG1436, COG1527, COG2811",atpVK,V-type H+-ATPase,Environmental Stress Response,High pH Adaptation,0,
Alishewanella agri,K02111/2,"COG0055, COG0056",atpAD,F-type H+/Na+-transporting ATPase subunits,Environmental Stress Response,High pH Adaptation,1,
Marinobactershengliensis,K02111/2,"COG0055, COG0056",AtpAD,F-type H+/Na+-transporting ATPase subunits,Environmental Stress Response,High pH Adaptation,1,
Marinobacter vinifirmis,K02111/2,"COG0055, COG0056",AtpAD,F-type H+/Na+-transporting ATPase subunits,Environmental Stress Response,High pH Adaptation,1,
Dietzia_maris_bin001_S3,K02111/2,"COG0055, COG0056",AtpAD,F-type H+/Na+-transporting ATPase subunits,Environmental Stress Response,High pH Adaptation,1,
Aliihoeflea_bin002_S3,K02111/2,"COG0055, COG0056",AtpAD,F-type H+/Na+-transporting ATPase subunits,Environmental Stress Response,High pH Adaptation,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K02111/2,"COG0055, COG0056",AtpAD,F-type H+/Na+-transporting ATPase subunits,Environmental Stress Response,High pH Adaptation,1,
Aliihoeflea_bin004_S3,K02111/2,"COG0055, COG0056",AtpAD,F-type H+/Na+-transporting ATPase subunits,Environmental Stress Response,High pH Adaptation,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K02111/2,"COG0055, COG0056",AtpAD,F-type H+/Na+-transporting ATPase subunits,Environmental Stress Response,High pH Adaptation,1,
Alishewanella agri,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type),Environmental Stress Response,High pH Adaptation,1,"The aa3-type oxidase helps by:

Conserving H⁺ on the cytoplasmic side

Actively pumping H⁺ out, creating a steep inward proton gradient

Supporting cytoplasmic acidification

This is especially important when cells rely on H⁺-dependent ATPases, transporters, or enzymes"
Marinobactershengliensis,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type),Environmental Stress Response,High pH Adaptation,1,
Marinobacter vinifirmis,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type),Environmental Stress Response,High pH Adaptation,1,
Dietzia_maris_bin001_S3,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type),Environmental Stress Response,High pH Adaptation,0,
Aliihoeflea_bin002_S3,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type),Environmental Stress Response,High pH Adaptation,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type),Environmental Stress Response,High pH Adaptation,1,
Aliihoeflea_bin004_S3,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type),Environmental Stress Response,High pH Adaptation,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type),Environmental Stress Response,High pH Adaptation,0,
Alishewanella agri,"K02051-K02054,K11074,  K11075-6, ","COG0687/9, COG1175, COG3842, COG1176, COG1177",potABCD,ABC-type spermidine/putrescine transport system,Environmental Stress Response,Oxidative Stress,0,plays a role in the bacterial response to oxidative stress by importing polyamines which act as antioxidants and modulate stress response genes. 
Marinobactershengliensis,"K02051-K02054,K11074,  K11075-6, ","COG0687/9, COG1175, COG3842, COG1176, COG1177",potABCD,ABC-type spermidine/putrescine transport system,Environmental Stress Response,Oxidative Stress,1,
Marinobacter vinifirmis,"K02051-K02054,K11074,  K11075-6, ","COG0687/9, COG1175, COG3842, COG1176, COG1177",potABCD,ABC-type spermidine/putrescine transport system,Environmental Stress Response,Oxidative Stress,1,
Dietzia_maris_bin001_S3,"K02051-K02054,K11074,  K11075-6, ","COG0687/9, COG1175, COG3842, COG1176, COG1177",potABCD,ABC-type spermidine/putrescine transport system,Environmental Stress Response,Oxidative Stress,0,
Aliihoeflea_bin002_S3,"K02051-K02054,K11074,  K11075-6, ","COG0687/9, COG1175, COG3842, COG1176, COG1177",potABCD,ABC-type spermidine/putrescine transport system,Environmental Stress Response,Oxidative Stress,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K02051-K02054,K11074,  K11075-6, ","COG0687/9, COG1175, COG3842, COG1176, COG1177",potABCD,ABC-type spermidine/putrescine transport system,Environmental Stress Response,Oxidative Stress,1,
Aliihoeflea_bin004_S3,"K02051-K02054,K11074,  K11075-6, ","COG0687/9, COG1175, COG3842, COG1176, COG1177",potABCD,ABC-type spermidine/putrescine transport system,Environmental Stress Response,Oxidative Stress,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K02051-K02054,K11074,  K11075-6, ","COG0687/9, COG1175, COG3842, COG1176, COG1177",potABCD,ABC-type spermidine/putrescine transport system,Environmental Stress Response,Oxidative Stress,0,
Alishewanella agri,K03704,COG1278,cspC,Cold shock protein,Environmental Stress Response,Cold Shock,1,
Marinobactershengliensis,K03704,COG1278,cspC,Cold shock protein,Environmental Stress Response,Cold Shock,1,
Marinobacter vinifirmis,K03704,COG1278,cspC,Cold shock protein,Environmental Stress Response,Cold Shock,1,
Dietzia_maris_bin001_S3,K03704,COG1278,cspC,Cold shock protein,Environmental Stress Response,Cold Shock,1,
Aliihoeflea_bin002_S3,K03704,COG1278,cspC,Cold shock protein,Environmental Stress Response,Cold Shock,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K03704,COG1278,cspC,Cold shock protein,Environmental Stress Response,Cold Shock,1,
Aliihoeflea_bin004_S3,K03704,COG1278,cspC,Cold shock protein,Environmental Stress Response,Cold Shock,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K03704,COG1278,cspC,Cold shock protein,Environmental Stress Response,Cold Shock,1,
Alishewanella agri,K04077,COG0459,groEL,Chaperonin GroEL (HSP60 family) ,Environmental Stress Response,Heat Shock,1,
Marinobactershengliensis,K04077,COG0459,groEL,Chaperonin GroEL (HSP60 family) ,Environmental Stress Response,Heat Shock,1,
Marinobacter vinifirmis,K04077,COG0459,groEL,Chaperonin GroEL (HSP60 family) ,Environmental Stress Response,Heat Shock,1,
Dietzia_maris_bin001_S3,K04077,COG0459,groEL,Chaperonin GroEL (HSP60 family) ,Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin002_S3,K04077,COG0459,groEL,Chaperonin GroEL (HSP60 family) ,Environmental Stress Response,Heat Shock,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K04077,COG0459,groEL,Chaperonin GroEL (HSP60 family) ,Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin004_S3,K04077,COG0459,groEL,Chaperonin GroEL (HSP60 family) ,Environmental Stress Response,Heat Shock,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K04077,COG0459,groEL,Chaperonin GroEL (HSP60 family) ,Environmental Stress Response,Heat Shock,1,
Alishewanella agri,K03694,COG0542,clpABX,"ATP-dependent Clp protease, ATP-binding subunit ",Environmental Stress Response,Heat Shock,1,
Marinobactershengliensis,K03694,COG0542,clpABX,"ATP-dependent Clp protease, ATP-binding subunit ",Environmental Stress Response,Heat Shock,1,
Marinobacter vinifirmis,K03694,COG0542,clpABX,"ATP-dependent Clp protease, ATP-binding subunit ",Environmental Stress Response,Heat Shock,1,
Dietzia_maris_bin001_S3,K03694,COG0542,clpABX,"ATP-dependent Clp protease, ATP-binding subunit ",Environmental Stress Response,Heat Shock,0,
Aliihoeflea_bin002_S3,K03694,COG0542,clpABX,"ATP-dependent Clp protease, ATP-binding subunit ",Environmental Stress Response,Heat Shock,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K03694,COG0542,clpABX,"ATP-dependent Clp protease, ATP-binding subunit ",Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin004_S3,K03694,COG0542,clpABX,"ATP-dependent Clp protease, ATP-binding subunit ",Environmental Stress Response,Heat Shock,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K03694,COG0542,clpABX,"ATP-dependent Clp protease, ATP-binding subunit ",Environmental Stress Response,Heat Shock,1,
Alishewanella agri,K04762,COG1188,hsp15,Ribosome-associated heat shock protein,Environmental Stress Response,Heat Shock,0,
Marinobactershengliensis,K04762,COG1189,hsp15,Ribosome-associated heat shock protein,Environmental Stress Response,Heat Shock,1,
Marinobacter vinifirmis,K04762,COG1190,hsp15,Ribosome-associated heat shock protein,Environmental Stress Response,Heat Shock,1,
Dietzia_maris_bin001_S3,K04762,COG1191,hsp15,Ribosome-associated heat shock protein,Environmental Stress Response,Heat Shock,0,
Aliihoeflea_bin002_S3,K04762,COG1192,hsp15,Ribosome-associated heat shock protein,Environmental Stress Response,Heat Shock,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K04762,COG1193,hsp15,Ribosome-associated heat shock protein,Environmental Stress Response,Heat Shock,0,
Aliihoeflea_bin004_S3,K04762,COG1194,hsp15,Ribosome-associated heat shock protein,Environmental Stress Response,Heat Shock,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K04762,COG1195,hsp15,Ribosome-associated heat shock protein,Environmental Stress Response,Heat Shock,0,
Alishewanella agri,"K03667, K01419","COG1220, COG5405", hslU,ATP-dependent HslUV protease ATP-binding subunit,Environmental Stress Response,Heat Shock,1,
Marinobactershengliensis,"K03667, K01419","COG1220, COG5405", hslU,ATP-dependent HslUV protease ATP-binding subunit,Environmental Stress Response,Heat Shock,1,
Marinobacter vinifirmis,"K03667, K01419","COG1220, COG5405", hslU,ATP-dependent HslUV protease ATP-binding subunit,Environmental Stress Response,Heat Shock,1,
Dietzia_maris_bin001_S3,"K03667, K01419","COG1220, COG5405", hslU,ATP-dependent HslUV protease ATP-binding subunit,Environmental Stress Response,Heat Shock,0,
Aliihoeflea_bin002_S3,"K03667, K01419","COG1220, COG5405", hslU,ATP-dependent HslUV protease ATP-binding subunit,Environmental Stress Response,Heat Shock,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K03667, K01419","COG1220, COG5405", hslU,ATP-dependent HslUV protease ATP-binding subunit,Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin004_S3,"K03667, K01419","COG1220, COG5405", hslU,ATP-dependent HslUV protease ATP-binding subunit,Environmental Stress Response,Heat Shock,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K03667, K01419","COG1220, COG5405", hslU,ATP-dependent HslUV protease ATP-binding subunit,Environmental Stress Response,Heat Shock,1,
Alishewanella agri,"K04043, K03686","COG0443, COG0484",dnaJK,Molecular chaperone DnaK (HSP70),Environmental Stress Response,Heat Shock,1,
Marinobactershengliensis,"K04043, K03686","COG0443, COG0484",dnaK,Molecular chaperone DnaK (HSP70),Environmental Stress Response,Heat Shock,1,
Marinobacter vinifirmis,"K04043, K03686","COG0443, COG0484",dnaK,Molecular chaperone DnaK (HSP70),Environmental Stress Response,Heat Shock,1,
Dietzia_maris_bin001_S3,"K04043, K03686","COG0443, COG0484",dnaK,Molecular chaperone DnaK (HSP70),Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin002_S3,"K04043, K03686","COG0443, COG0484",dnaK,Molecular chaperone DnaK (HSP70),Environmental Stress Response,Heat Shock,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K04043, K03686","COG0443, COG0484",dnaK,Molecular chaperone DnaK (HSP70),Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin004_S3,"K04043, K03686","COG0443, COG0484",dnaK,Molecular chaperone DnaK (HSP70),Environmental Stress Response,Heat Shock,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K04043, K03686","COG0443, COG0484",dnaK,Molecular chaperone DnaK (HSP70),Environmental Stress Response,Heat Shock,1,
Alishewanella agri,K04078,COG0234,hsp10,chaperonin GroES,Environmental Stress Response,Heat Shock,1,
Marinobactershengliensis,K04078,COG0234,hsp11,chaperonin GroES,Environmental Stress Response,Heat Shock,1,
Marinobacter vinifirmis,K04078,COG0234,hsp12,chaperonin GroES,Environmental Stress Response,Heat Shock,1,
Dietzia_maris_bin001_S3,K04078,COG0234,hsp13,chaperonin GroES,Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin002_S3,K04078,COG0234,hsp14,chaperonin GroES,Environmental Stress Response,Heat Shock,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K04078,COG0234,hsp15,chaperonin GroES,Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin004_S3,K04078,COG0234,hsp16,chaperonin GroES,Environmental Stress Response,Heat Shock,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K04078,COG0234,hsp17,chaperonin GroES,Environmental Stress Response,Heat Shock,0,
Alishewanella agri,"K04079, K03799","COG0326, COG0501",htpGX,molecular chaperone htpgx,Environmental Stress Response,Heat Shock,1,
Marinobactershengliensis,"K04079, K03799","COG0326, COG0501",htpGX,molecular chaperone htpgx,Environmental Stress Response,Heat Shock,1,
Marinobacter vinifirmis,"K04079, K03799","COG0326, COG0501",htpGX,molecular chaperone htpgx,Environmental Stress Response,Heat Shock,1,
Dietzia_maris_bin001_S3,"K04079, K03799","COG0326, COG0501",htpGX,molecular chaperone htpgx,Environmental Stress Response,Heat Shock,0,
Aliihoeflea_bin002_S3,"K04079, K03799","COG0326, COG0501",htpGX,molecular chaperone htpgx,Environmental Stress Response,Heat Shock,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K04079, K03799","COG0326, COG0501",htpGX,molecular chaperone htpgx,Environmental Stress Response,Heat Shock,1,
Aliihoeflea_bin004_S3,"K04079, K03799","COG0326, COG0501",htpGX,molecular chaperone htpgx,Environmental Stress Response,Heat Shock,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K04079, K03799","COG0326, COG0501",htpGX,molecular chaperone htpgx,Environmental Stress Response,Heat Shock,0,
Alishewanella agri,K02000-K02002,COG4176,proVWX, ABC-type proline/glycine betaine transport system,Environmental Stress Response,Osmotic stress,0,"Maintains osmotic balance under:

High salinity

Desiccation

Cold or heat stress

Alkaline or high-pressure conditions (e.g., deep-sea environments)

Helps stabilize enzymes and membrane structures"
Marinobactershengliensis,K02000-K02002,COG4176,proVWX, ABC-type proline/glycine betaine transport system,Environmental Stress Response,Osmotic stress,0,
Marinobacter vinifirmis,K02000-K02002,COG4176,proVWX, ABC-type proline/glycine betaine transport system,Environmental Stress Response,Osmotic stress,0,
Dietzia_maris_bin001_S3,K02000-K02002,COG4176,proVWX, ABC-type proline/glycine betaine transport system,Environmental Stress Response,Osmotic stress,0,
Aliihoeflea_bin002_S3,K02000-K02002,COG4176,proVWX, ABC-type proline/glycine betaine transport system,Environmental Stress Response,Osmotic stress,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K02000-K02002,COG4176,proVWX, ABC-type proline/glycine betaine transport system,Environmental Stress Response,Osmotic stress,0,
Aliihoeflea_bin004_S3,K02000-K02002,COG4176,proVWX, ABC-type proline/glycine betaine transport system,Environmental Stress Response,Osmotic stress,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K02000-K02002,COG4176,proVWX, ABC-type proline/glycine betaine transport system,Environmental Stress Response,Osmotic stress,0,
Alishewanella agri,"K02168, K03451",COG1292,betT,Choline-glycine betaine transporter,Environmental Stress Response,Osmotic stress,1,
Marinobactershengliensis,"K02168, K03451",COG1292,betT,Choline-glycine betaine transporter,Environmental Stress Response,Osmotic stress,1,
