Genome,KO,COG,Gene name,Gene Function,Function Category,Function Subcategory,Presence/Absence,Additional Information
Marinobacter vinifirmis,"K02168, K03451",COG1292,betT,Choline-glycine betaine transporter,Environmental Stress Response,Osmotic stress,1,
Dietzia_maris_bin001_S3,"K02168, K03451",COG1292,betT,Choline-glycine betaine transporter,Environmental Stress Response,Osmotic stress,0,
Aliihoeflea_bin002_S3,"K02168, K03451",COG1292,betT,Choline-glycine betaine transporter,Environmental Stress Response,Osmotic stress,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K02168, K03451",COG1292,betT,Choline-glycine betaine transporter,Environmental Stress Response,Osmotic stress,1,
Aliihoeflea_bin004_S3,"K02168, K03451",COG1292,betT,Choline-glycine betaine transporter,Environmental Stress Response,Osmotic stress,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K02168, K03451",COG1292,betT,Choline-glycine betaine transporter,Environmental Stress Response,Osmotic stress,1,
Alishewanella agri,"K02049-K02051, K15554, K15577","COG0715, COG1116, COG0600",tauABC,ABC-type nitrate/sulfonate/bicarbonate transport system,Environmental Stress Response,Osmotic stress,0,"Taurine acts as an osmoprotectant, helping cells maintain proper volume and function under osmotic stress, and its uptake is facilitated by the taurine transporter (TauT). TauT is a membrane protein that uses the sodium gradient to transport taurine into cells, playing a crucial role in osmoregulation. "
Marinobactershengliensis,"K02049-K02051, K15554, K15577","COG0715, COG1116, COG0600",tauABC,ABC-type nitrate/sulfonate/bicarbonate transport system,Environmental Stress Response,Osmotic stress,1,
Marinobacter vinifirmis,"K02049-K02051, K15554, K15577","COG0715, COG1116, COG0600",tauABC,ABC-type nitrate/sulfonate/bicarbonate transport system,Environmental Stress Response,Osmotic stress,1,
Dietzia_maris_bin001_S3,"K02049-K02051, K15554, K15577","COG0715, COG1116, COG0600",tauABC,ABC-type nitrate/sulfonate/bicarbonate transport system,Environmental Stress Response,Osmotic stress,0,
Aliihoeflea_bin002_S3,"K02049-K02051, K15554, K15577","COG0715, COG1116, COG0600",tauABC,ABC-type nitrate/sulfonate/bicarbonate transport system,Environmental Stress Response,Osmotic stress,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K02049-K02051, K15554, K15577","COG0715, COG1116, COG0600",tauABC,ABC-type nitrate/sulfonate/bicarbonate transport system,Environmental Stress Response,Osmotic stress,0,
Aliihoeflea_bin004_S3,"K02049-K02051, K15554, K15577","COG0715, COG1116, COG0600",tauABC,ABC-type nitrate/sulfonate/bicarbonate transport system,Environmental Stress Response,Osmotic stress,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K02049-K02051, K15554, K15577","COG0715, COG1116, COG0600",tauABC,ABC-type nitrate/sulfonate/bicarbonate transport system,Environmental Stress Response,Osmotic stress,0,
Alishewanella agri,"K03671, K00384, K03564, K11065, K02199","COG3118, COG0492, COG1225, COG2077, COG1225","trxAB, tpx",thioredoxin; thioredoxin-dependent peroxiredoxin,Environmental Stress Response,Oxidative Stress,0,
Marinobactershengliensis,"K03671, K00384, K03564, K11065, K02199","COG3118, COG0492, COG1225, COG2077, COG1225","trxAB, tpx",thioredoxin; thioredoxin-dependent peroxiredoxin,Environmental Stress Response,Oxidative Stress,1,
Marinobacter vinifirmis,"K03671, K00384, K03564, K11065, K02199","COG3118, COG0492, COG1225, COG2077, COG1225","trxAB, tpx",thioredoxin; thioredoxin-dependent peroxiredoxin,Environmental Stress Response,Oxidative Stress,1,
Dietzia_maris_bin001_S3,"K03671, K00384, K03564, K11065, K02199","COG3118, COG0492, COG1225, COG2077, COG1225","trxAB, tpx",thioredoxin; thioredoxin-dependent peroxiredoxin,Environmental Stress Response,Oxidative Stress,1,
Aliihoeflea_bin002_S3,"K03671, K00384, K03564, K11065, K02199","COG3118, COG0492, COG1225, COG2077, COG1225","trxAB, tpx",thioredoxin; thioredoxin-dependent peroxiredoxin,Environmental Stress Response,Oxidative Stress,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K03671, K00384, K03564, K11065, K02199","COG3118, COG0492, COG1225, COG2077, COG1225","trxAB, tpx",thioredoxin; thioredoxin-dependent peroxiredoxin,Environmental Stress Response,Oxidative Stress,1,
Aliihoeflea_bin004_S3,"K03671, K00384, K03564, K11065, K02199","COG3118, COG0492, COG1225, COG2077, COG1225","trxAB, tpx",thioredoxin; thioredoxin-dependent peroxiredoxin,Environmental Stress Response,Oxidative Stress,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K03671, K00384, K03564, K11065, K02199","COG3118, COG0492, COG1225, COG2077, COG1225","trxAB, tpx",thioredoxin; thioredoxin-dependent peroxiredoxin,Environmental Stress Response,Oxidative Stress,0,
Alishewanella agri,K03781/2,"COG0753, COG0376",katEG,catalase-peroxidase,Environmental Stress Response,Oxidative Stress,1,
Marinobactershengliensis,K03781/2,"COG0753, COG0376",katEG,catalase-peroxidase,Environmental Stress Response,Oxidative Stress,1,
Marinobacter vinifirmis,K03781/2,"COG0753, COG0376",katEG,catalase-peroxidase,Environmental Stress Response,Oxidative Stress,1,
Dietzia_maris_bin001_S3,K03781/2,"COG0753, COG0376",katEG,catalase-peroxidase,Environmental Stress Response,Oxidative Stress,1,
Aliihoeflea_bin002_S3,K03781/2,"COG0753, COG0376",katEG,catalase-peroxidase,Environmental Stress Response,Oxidative Stress,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K03781/2,"COG0753, COG0376",katEG,catalase-peroxidase,Environmental Stress Response,Oxidative Stress,1,
Aliihoeflea_bin004_S3,K03781/2,"COG0753, COG0376",katEG,catalase-peroxidase,Environmental Stress Response,Oxidative Stress,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K03781/2,"COG0753, COG0376",katEG,catalase-peroxidase,Environmental Stress Response,Oxidative Stress,1,
Alishewanella agri,"K22552, K07798,K07787","COG2132, COG0845, COG3696","sufL, 	
cusAB, silB","multicopper oxidase; membrane fusion protein, copper/silver efflux system",Environmental Stress Response,Heavy Metal Detoxification,1,"Multicopper oxidases (MCOs) are a family of enzymes that use copper ions as cofactors to catalyze the oxidation of various substrates, while simultaneously reducing oxygen to water. They are found across all kingdoms of life and play diverse roles in cellular processes, including iron homeostasis, detoxification of metals, and defense mechanisms. "
Marinobactershengliensis,"K22552, K07798,K07787","COG2132, COG0845, COG3696","sufL, 	
cusAB, silB","multicopper oxidase; membrane fusion protein, copper/silver efflux system",Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobacter vinifirmis,"K22552, K07798,K07787","COG2132, COG0845, COG3696","sufL, 	
cusAB, silB","multicopper oxidase; membrane fusion protein, copper/silver efflux system",Environmental Stress Response,Heavy Metal Detoxification,1,
Dietzia_maris_bin001_S3,"K22552, K07798,K07787","COG2132, COG0845, COG3696","sufL, 	
cusAB, silB","multicopper oxidase; membrane fusion protein, copper/silver efflux system",Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin002_S3,"K22552, K07798,K07787","COG2132, COG0845, COG3696","sufL, 	
cusAB, silB","multicopper oxidase; membrane fusion protein, copper/silver efflux system",Environmental Stress Response,Heavy Metal Detoxification,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K22552, K07798,K07787","COG2132, COG0845, COG3696","sufL, 	
cusAB, silB","multicopper oxidase; membrane fusion protein, copper/silver efflux system",Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin004_S3,"K22552, K07798,K07787","COG2132, COG0845, COG3696","sufL, 	
cusAB, silB","multicopper oxidase; membrane fusion protein, copper/silver efflux system",Environmental Stress Response,Heavy Metal Detoxification,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K22552, K07798,K07787","COG2132, COG0845, COG3696","sufL, 	
cusAB, silB","multicopper oxidase; membrane fusion protein, copper/silver efflux system",Environmental Stress Response,Heavy Metal Detoxification,0,
Alishewanella agri,K08365,COG0789,merR, Mercuric resistance operon regulatory protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Marinobactershengliensis,K08365,COG0789,merR, Mercuric resistance operon regulatory protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Marinobacter vinifirmis,K08365,COG0789,merR, Mercuric resistance operon regulatory protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Dietzia_maris_bin001_S3,K08365,COG0789,merR, Mercuric resistance operon regulatory protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin002_S3,K08365,COG0789,merR, Mercuric resistance operon regulatory protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,K08365,COG0789,merR, Mercuric resistance operon regulatory protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin004_S3,K08365,COG0789,merR, Mercuric resistance operon regulatory protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K08365,COG0789,merR, Mercuric resistance operon regulatory protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Alishewanella agri,"K03325, K00537, K11811","COG0798, COG1393, COG0431",arsBCH,Arsenite efflux pump; arsenate reductase; arsenical resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobactershengliensis,"K03325, K00537, K11811","COG0798, COG1393, COG0431",arsBCH,Arsenite efflux pump; arsenate reductase; arsenical resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobacter vinifirmis,"K03325, K00537, K11811","COG0798, COG1393, COG0431",arsBCH,Arsenite efflux pump; arsenate reductase; arsenical resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Dietzia_maris_bin001_S3,"K03325, K00537, K11811","COG0798, COG1393, COG0431",arsBCH,Arsenite efflux pump; arsenate reductase; arsenical resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Aliihoeflea_bin002_S3,"K03325, K00537, K11811","COG0798, COG1393, COG0431",arsBCH,Arsenite efflux pump; arsenate reductase; arsenical resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K03325, K00537, K11811","COG0798, COG1393, COG0431",arsBCH,Arsenite efflux pump; arsenate reductase; arsenical resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Aliihoeflea_bin004_S3,"K03325, K00537, K11811","COG0798, COG1393, COG0431",arsBCH,Arsenite efflux pump; arsenate reductase; arsenical resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K03325, K00537, K11811","COG0798, COG1393, COG0431",arsBCH,Arsenite efflux pump; arsenate reductase; arsenical resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Alishewanella agri,K07240,COG2059,chrA,Chromate transporter,Environmental Stress Response,Heavy Metal Detoxification,0,
Marinobactershengliensis,K07241,COG2060,chrA,Chromate transporter,Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobacter vinifirmis,K07242,COG2061,chrA,Chromate transporter,Environmental Stress Response,Heavy Metal Detoxification,1,
Dietzia_maris_bin001_S3,K07243,COG2062,chrA,Chromate transporter,Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin002_S3,K07244,COG2063,chrA,Chromate transporter,Environmental Stress Response,Heavy Metal Detoxification,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K07245,COG2064,chrA,Chromate transporter,Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin004_S3,K07246,COG2065,chrA,Chromate transporter,Environmental Stress Response,Heavy Metal Detoxification,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K07247,COG2066,chrA,Chromate transporter,Environmental Stress Response,Heavy Metal Detoxification,0,
Alishewanella agri,K08970,COG2215,rcnA,ABC-type nickel/cobalt efflux system,Environmental Stress Response,Heavy Metal Detoxification,0,
Marinobactershengliensis,K08970,COG2215,rcnA,ABC-type nickel/cobalt efflux system,Environmental Stress Response,Heavy Metal Detoxification,0,
Marinobacter vinifirmis,K08970,COG2215,rcnA,ABC-type nickel/cobalt efflux system,Environmental Stress Response,Heavy Metal Detoxification,0,
Dietzia_maris_bin001_S3,K08970,COG2215,rcnA,ABC-type nickel/cobalt efflux system,Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin002_S3,K08970,COG2215,rcnA,ABC-type nickel/cobalt efflux system,Environmental Stress Response,Heavy Metal Detoxification,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K08970,COG2215,rcnA,ABC-type nickel/cobalt efflux system,Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin004_S3,K08970,COG2215,rcnA,ABC-type nickel/cobalt efflux system,Environmental Stress Response,Heavy Metal Detoxification,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K08970,COG2215,rcnA,ABC-type nickel/cobalt efflux system,Environmental Stress Response,Heavy Metal Detoxification,0,
Alishewanella agri,K05794,"COG0861, COG4103",terBC,Tellurite resistance protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Marinobactershengliensis,K05794,"COG0861, COG4103",terBC,Tellurite resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobacter vinifirmis,K05794,"COG0861, COG4103",terBC,Tellurite resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Dietzia_maris_bin001_S3,K05794,"COG0861, COG4103",terBC,Tellurite resistance protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin002_S3,K05794,"COG0861, COG4103",terBC,Tellurite resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K05794,"COG0861, COG4103",terBC,Tellurite resistance protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin004_S3,K05794,"COG0861, COG4103",terBC,Tellurite resistance protein,Environmental Stress Response,Heavy Metal Detoxification,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K05794,"COG0861, COG4103",terBC,Tellurite resistance protein,Environmental Stress Response,Heavy Metal Detoxification,0,
Alishewanella agri,K04564,COG0605,sodA,"Superoxide dismutase, Fe-Mn family",Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobactershengliensis,K04564,COG0605,sodA,"Superoxide dismutase, Fe-Mn family",Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobacter vinifirmis,K04564,COG0605,sodA,"Superoxide dismutase, Fe-Mn family",Environmental Stress Response,Heavy Metal Detoxification,1,
Dietzia_maris_bin001_S3,K04564,COG0605,sodA,"Superoxide dismutase, Fe-Mn family",Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin002_S3,K04564,COG0605,sodA,"Superoxide dismutase, Fe-Mn family",Environmental Stress Response,Heavy Metal Detoxification,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K04564,COG0605,sodA,"Superoxide dismutase, Fe-Mn family",Environmental Stress Response,Heavy Metal Detoxification,1,
Aliihoeflea_bin004_S3,K04564,COG0605,sodA,"Superoxide dismutase, Fe-Mn family",Environmental Stress Response,Heavy Metal Detoxification,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K04564,COG0605,sodA,"Superoxide dismutase, Fe-Mn family",Environmental Stress Response,Heavy Metal Detoxification,1,
Alishewanella agri,K00370/1,"COG5013, COG1140",narGH,Nitrate reductase,Metabolism,Nitrate Reduction,1,
Marinobactershengliensis,K00370/1,"COG5013, COG1140",narGH,Nitrate reductase,Metabolism,Nitrate Reduction,1,
Marinobacter vinifirmis,K00370/1,"COG5013, COG1140",narGH,Nitrate reductase,Metabolism,Nitrate Reduction,1,
Dietzia_maris_bin001_S3,K00370/1,"COG5013, COG1140",narGH,Nitrate reductase,Metabolism,Nitrate Reduction,1,
Aliihoeflea_bin002_S3,K00370/1,"COG5013, COG1140",narGH,Nitrate reductase,Metabolism,Nitrate Reduction,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,K00370/1,"COG5013, COG1140",narGH,Nitrate reductase,Metabolism,Nitrate Reduction,0,
Aliihoeflea_bin004_S3,K00370/1,"COG5013, COG1140",narGH,Nitrate reductase,Metabolism,Nitrate Reduction,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K00370/1,"COG5013, COG1140",narGH,Nitrate reductase,Metabolism,Nitrate Reduction,0,
Alishewanella agri,K02567/8,"COG0243, COG3043",napAB,Periplasmic nitrate reductase,Metabolism,Nitrate Reduction,0,
Marinobactershengliensis,K02567/8,"COG0243, COG3043",napAB,Periplasmic nitrate reductase,Metabolism,Nitrate Reduction,1,
Marinobacter vinifirmis,K02567/8,"COG0243, COG3043",napAB,Periplasmic nitrate reductase,Metabolism,Nitrate Reduction,1,
Dietzia_maris_bin001_S3,K02567/8,"COG0243, COG3043",napAB,Periplasmic nitrate reductase,Metabolism,Nitrate Reduction,0,
Aliihoeflea_bin002_S3,K02567/8,"COG0243, COG3043",napAB,Periplasmic nitrate reductase,Metabolism,Nitrate Reduction,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,K02567/8,"COG0243, COG3043",napAB,Periplasmic nitrate reductase,Metabolism,Nitrate Reduction,0,
Aliihoeflea_bin004_S3,K02567/8,"COG0243, COG3043",napAB,Periplasmic nitrate reductase,Metabolism,Nitrate Reduction,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K02567/8,"COG0243, COG3043",napAB,Periplasmic nitrate reductase,Metabolism,Nitrate Reduction,0,
Alishewanella agri,K04561,COG3256,norB,Nitric oxide reductase,Metabolism,Nitrite Reduction,1,
Marinobactershengliensis,K04561,COG3256,norB,Nitric oxide reductase,Metabolism,Nitrite Reduction,1,
Marinobacter vinifirmis,K04561,COG3256,norB,Nitric oxide reductase,Metabolism,Nitrite Reduction,1,
Dietzia_maris_bin001_S3,K04561,COG3256,norB,Nitric oxide reductase,Metabolism,Nitrite Reduction,0,
Aliihoeflea_bin002_S3,K04561,COG3256,norB,Nitric oxide reductase,Metabolism,Nitrite Reduction,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,K04561,COG3256,norB,Nitric oxide reductase,Metabolism,Nitrite Reduction,0,
Aliihoeflea_bin004_S3,K04561,COG3256,norB,Nitric oxide reductase,Metabolism,Nitrite Reduction,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K04561,COG3256,norB,Nitric oxide reductase,Metabolism,Nitrite Reduction,0,
Alishewanella agri,K00362,COG1251,nirB,Nitrite reductase (NADH) ,Metabolism,Nitrite Reduction,1,
Marinobactershengliensis,K00362,COG1251,nirB,Nitrite reductase (NADH) ,Metabolism,Nitrite Reduction,1,
Marinobacter vinifirmis,K00362,COG1251,nirB,Nitrite reductase (NADH) ,Metabolism,Nitrite Reduction,1,
Dietzia_maris_bin001_S3,K00362,COG1251,nirB,Nitrite reductase (NADH) ,Metabolism,Nitrite Reduction,1,
Aliihoeflea_bin002_S3,K00362,COG1251,nirB,Nitrite reductase (NADH) ,Metabolism,Nitrite Reduction,0,
Stenotrophomonas_maltophilia_Z_bin003_S3,K00362,COG1251,nirB,Nitrite reductase (NADH) ,Metabolism,Nitrite Reduction,0,
Aliihoeflea_bin004_S3,K00362,COG1251,nirB,Nitrite reductase (NADH) ,Metabolism,Nitrite Reduction,0,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K00362,COG1251,nirB,Nitrite reductase (NADH) ,Metabolism,Nitrite Reduction,0,
Alishewanella agri,"K00956-8, K00390",COG0175,sat,Sulfate adenylyltransferase,Metabolism,Sulfate Reduction,1,
Marinobactershengliensis,"K00957/8, K00390",COG0175,sat,Sulfate adenylyltransferase,Metabolism,Sulfate Reduction,1,
Marinobacter vinifirmis,"K00957/8, K00390",COG0175,sat,Sulfate adenylyltransferase,Metabolism,Sulfate Reduction,1,
Dietzia_maris_bin001_S3,"K00957/8, K00390",COG0175,sat,Sulfate adenylyltransferase,Metabolism,Sulfate Reduction,0,
Aliihoeflea_bin002_S3,"K00957/8, K00390",COG0175,sat,Sulfate adenylyltransferase,Metabolism,Sulfate Reduction,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,"K00957/8, K00390",COG0175,sat,Sulfate adenylyltransferase,Metabolism,Sulfate Reduction,0,
Aliihoeflea_bin004_S3,"K00957/8, K00390",COG0175,sat,Sulfate adenylyltransferase,Metabolism,Sulfate Reduction,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,"K00957/8, K00390",COG0175,sat,Sulfate adenylyltransferase,Metabolism,Sulfate Reduction,1,
Alishewanella agri,K00381,COG0155,cysJ,Sulfite reductase (NADPH) ,Metabolism,Sulfite reduction,0,Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. 
Marinobactershengliensis,K00381,COG0155,cysJ,Sulfite reductase (NADPH) ,Metabolism,Sulfite reduction,1,
Marinobacter vinifirmis,K00381,COG0155,cysJ,Sulfite reductase (NADPH) ,Metabolism,Sulfite reduction,1,
Dietzia_maris_bin001_S3,K00381,COG0155,cysJ,Sulfite reductase (NADPH) ,Metabolism,Sulfite reduction,0,
Aliihoeflea_bin002_S3,K00381,COG0155,cysJ,Sulfite reductase (NADPH) ,Metabolism,Sulfite reduction,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K00381,COG0155,cysJ,Sulfite reductase (NADPH) ,Metabolism,Sulfite reduction,0,
Aliihoeflea_bin004_S3,K00381,COG0155,cysJ,Sulfite reductase (NADPH) ,Metabolism,Sulfite reduction,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K00381,COG0155,cysJ,Sulfite reductase (NADPH) ,Metabolism,Sulfite reduction,0,
Alishewanella agri,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type)2,Metabolism,Aerobic respiration,1,"The aa3-type oxidase helps by:

Conserving H⁺ on the cytoplasmic side

Actively pumping H⁺ out, creating a steep inward proton gradient

Supporting cytoplasmic acidification

This is especially important when cells rely on H⁺-dependent ATPases, transporters, or enzymes"
Marinobactershengliensis,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type)2,Metabolism,Aerobic respiration,1,
Marinobacter vinifirmis,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type)2,Metabolism,Aerobic respiration,1,
Dietzia_maris_bin001_S3,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type)2,Metabolism,Aerobic respiration,0,
Aliihoeflea_bin002_S3,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type)2,Metabolism,Aerobic respiration,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type)2,Metabolism,Aerobic respiration,1,
Aliihoeflea_bin004_S3,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type)2,Metabolism,Aerobic respiration,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K02274-77,"COG0843, COG1622, COG0844, COG3252",coxABCD,Cytochrome c oxidase (aa3-type)2,Metabolism,Aerobic respiration,0,
Alishewanella agri,K00425/6,"COG1271, COG1294",cydAB,Cytochrome bd oxidase,Metabolism,Aerobic respiration,1,
Marinobactershengliensis,K00425/6,"COG1271, COG1294",cydAB,Cytochrome bd oxidase,Metabolism,Aerobic respiration,1,
Marinobacter vinifirmis,K00425/6,"COG1271, COG1294",cydAB,Cytochrome bd oxidase,Metabolism,Aerobic respiration,1,
Dietzia_maris_bin001_S3,K00425/6,"COG1271, COG1294",cydAB,Cytochrome bd oxidase,Metabolism,Aerobic respiration,0,
Aliihoeflea_bin002_S3,K00425/6,"COG1271, COG1294",cydAB,Cytochrome bd oxidase,Metabolism,Aerobic respiration,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K00425/6,"COG1271, COG1294",cydAB,Cytochrome bd oxidase,Metabolism,Aerobic respiration,1,
Aliihoeflea_bin004_S3,K00425/6,"COG1271, COG1294",cydAB,Cytochrome bd oxidase,Metabolism,Aerobic respiration,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K00425/6,"COG1271, COG1294",cydAB,Cytochrome bd oxidase,Metabolism,Aerobic respiration,0,
Alishewanella agri,K24821,COG5265,"atm1, pexA","ATP-binding cassette, heavy metal transporter",Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobactershengliensis,K24821,COG5265,"atm1, pexA","ATP-binding cassette, heavy metal transporter",Environmental Stress Response,Heavy Metal Detoxification,1,
Marinobacter vinifirmis,K24821,COG5265,"atm1, pexA","ATP-binding cassette, heavy metal transporter",Environmental Stress Response,Heavy Metal Detoxification,1,
Dietzia_maris_bin001_S3,K24821,COG5265,"atm1, pexA","ATP-binding cassette, heavy metal transporter",Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin002_S3,K24821,COG5265,"atm1, pexA","ATP-binding cassette, heavy metal transporter",Environmental Stress Response,Heavy Metal Detoxification,1,
Stenotrophomonas_maltophilia_Z_bin003_S3,K24821,COG5265,"atm1, pexA","ATP-binding cassette, heavy metal transporter",Environmental Stress Response,Heavy Metal Detoxification,0,
Aliihoeflea_bin004_S3,K24821,COG5265,"atm1, pexA","ATP-binding cassette, heavy metal transporter",Environmental Stress Response,Heavy Metal Detoxification,1,
Campylobacterales_UBA1877_Kmv14_bin001_S4,K24821,COG5265,"atm1, pexA","ATP-binding cassette, heavy metal transporter",Environmental Stress Response,Heavy Metal Detoxification,0,